training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
848.3992,0.1616252,-20.091793,0.07562718,1.0,4.634146,-5.100311,162.42854,0.2716226,-50.888027,-138.1363,0.433591,829.06195,0.12694505,-20.130264,0.07929104,1.0,0.27249143,-50.579506,-133.10263,0.44637635,0.0019153208255767822,985.7039396762848,115000
858.16907,0.12638925,-20.106724,0.07704899,1.0,4.8082557,-5.2579303,174.69563,0.32824433,-50.504955,-135.70068,0.80709803,802.94617,0.073423214,-20.126768,0.078958124,1.0,0.5814736,-49.04333,-137.40692,0.71388024,0.0018708492755889893,995.0581924915314,120000
804.1212,0.12196261,-20.09883,0.07629713,1.0,3.876594,-4.260003,156.23611,0.41445458,-50.71117,-136.22263,0.37435365,875.82007,0.19260566,-20.156736,0.08181213,1.0,0.36792582,-51.52546,-136.53854,0.35796946,0.001896244430541992,1004.5394203662872,125000
837.2378,0.122193396,-20.10661,0.07703806,1.0,4.0158844,-4.7301245,167.61174,0.32553363,-48.961716,-137.04803,0.41565415,813.98566,0.109931126,-20.161144,0.082231924,1.0,0.36221588,-50.501724,-131.37839,0.41606915,0.0019010025024414063,1014.044439792633,130000
840.5531,0.13402766,-20.069386,0.07349283,1.0,5.624545,-4.49452,164.11577,0.28433052,-50.842392,-137.20117,0.35754943,802.3522,0.11949885,-20.131334,0.079392925,1.0,0.28370827,-50.669968,-135.73349,0.34189612,0.0019225374698638917,1023.6571326255798,135000
826.323,0.12940715,-20.087973,0.07526315,1.0,3.4744244,-5.033806,157.73671,0.2814751,-48.25022,-135.71004,0.38706458,829.05536,0.13907725,-20.122606,0.07856168,1.0,0.38300908,-49.96584,-140.46616,0.3771318,0.0018852429389953614,1033.0833535194397,140000
841.3198,0.12163748,-20.073236,0.07385978,1.0,5.135429,-5.4730244,152.54729,0.21961409,-48.94065,-141.51419,0.38489622,859.76733,0.14445516,-20.12902,0.07917256,1.0,0.23774904,-49.799118,-139.26328,0.39008385,0.0018956108093261719,1042.5614132881165,145000
819.53467,0.12000617,-20.107552,0.07712787,1.0,4.7725606,-5.1747,165.18831,0.44590136,-51.88798,-140.0444,0.34058294,811.9604,0.13429788,-20.14143,0.08035447,1.0,0.40154147,-51.231934,-137.29308,0.27537346,0.0018916476249694824,1052.0196573734283,150000
819.79846,0.14491072,-20.082893,0.074779555,1.0,6.0423126,-5.411964,158.1206,0.34479228,-50.130684,-137.33499,0.28296006,856.4229,0.13637598,-20.162683,0.082378455,1.0,0.3202691,-51.649467,-141.01743,0.42357856,0.001876516819000244,1061.4022467136383,155000
806.7531,0.11785332,-20.07482,0.07401055,1.0,4.7252226,-4.9040723,152.35905,0.24919003,-48.471855,-139.16896,0.42142916,834.4525,0.16046846,-20.111736,0.07752656,1.0,0.32122594,-51.72684,-135.77309,0.43400952,0.0018941808700561524,1070.8731570243835,160000
844.4834,0.13259825,-20.088882,0.07534996,1.0,5.428799,-5.8955793,170.45786,0.35353154,-49.369648,-135.62363,0.8352919,827.4374,0.10379656,-20.140041,0.0802222,1.0,0.20884496,-52.604607,-133.21988,0.8164649,0.001929722785949707,1080.5217764377594,165000
823.07007,0.15662076,-20.08435,0.07491824,1.0,4.2937946,-5.2420115,159.61203,0.31513476,-51.461952,-140.5108,0.3663931,837.3589,0.15934,-20.143612,0.08056223,1.0,0.48308763,-54.409847,-138.23663,0.40943,0.0018811097145080566,1089.9273307323456,170000
835.25244,0.16187689,-20.085562,0.07503355,1.0,5.575994,-5.3263693,171.64357,0.21509796,-51.59015,-137.841,0.42412597,849.73413,0.18816358,-20.119036,0.07822167,1.0,0.4965426,-51.642307,-139.99902,0.45451325,0.001891804599761963,1099.3863604068756,175000
805.46704,0.046800118,-20.058064,0.072414786,1.0,6.637791,-5.6077127,153.83711,0.42308933,-52.71119,-161.25185,0.34724873,795.1162,0.09852332,-20.110188,0.077379,1.0,0.2956794,-53.46663,-139.26672,0.32963872,0.0018859209537506103,1108.815970659256,180000
852.5949,0.16954312,-20.085083,0.07498815,1.0,4.6273103,-5.3622746,160.18076,0.35597232,-52.72252,-153.1875,0.3778714,780.4236,0.07883853,-20.133108,0.07956191,1.0,0.3193918,-51.691113,-143.40842,0.43834865,0.0019176076412200929,1118.4040145874023,185000
822.9408,0.14291072,-20.083328,0.0748208,1.0,5.743395,-7.9202576,156.41142,0.40136492,-50.216316,-140.81363,0.3934548,818.6974,0.13650131,-20.127937,0.079069436,1.0,0.34748247,-52.55784,-140.2345,0.48069394,0.001886503267288208,1127.8365368843079,190000
872.32324,0.19000411,-20.0693,0.07348472,1.0,4.618773,-5.4147797,159.73334,0.42289135,-51.411522,-141.0648,0.2953167,828.8181,0.17469384,-20.126081,0.07889258,1.0,0.5083281,-52.56217,-142.95624,0.3584823,0.0019207895755767822,1137.4404907226562,195000
831.70435,0.13021436,-20.10651,0.07702871,1.0,6.3401327,-4.6788507,161.96092,0.27679947,-51.894817,-141.99835,0.35399055,799.53577,0.13217725,-20.142012,0.080409735,1.0,0.17375763,-51.667557,-139.87009,0.3594926,0.0018965678691864013,1146.9233355522156,200000
858.8501,0.15228817,-20.075094,0.074036784,1.0,5.846154,-5.04147,155.36615,0.2871816,-50.362827,-140.5501,0.33829957,753.53296,0.08436783,-20.135519,0.07979147,1.0,0.26298374,-51.86329,-139.01291,0.39068705,0.07356544313430786,1514.7505567073822,205000
790.9087,0.11324215,-20.066114,0.07318141,1.0,4.158924,-4.5094004,158.87851,0.31219906,-49.909134,-157.10294,0.39819697,829.3976,0.15001813,-20.139362,0.08015749,1.0,0.23691504,-52.558197,-142.36499,0.46814838,0.0019461374759674073,1524.4812502861023,210000
859.6317,0.10519624,-20.073128,0.073849425,1.0,4.8328443,-6.5690303,173.73369,0.26997414,-52.229576,-151.78723,0.5089394,849.9569,0.17107573,-20.131859,0.079442754,1.0,0.22990625,-52.874535,-139.3717,0.62244976,0.0019013896465301513,1533.988204717636,215000
845.6052,0.156129,-20.065628,0.073135205,1.0,4.1770005,-6.127183,161.44867,0.5393357,-49.207508,-153.4039,0.35773265,818.9729,0.113513134,-20.125092,0.07879827,1.0,0.25363904,-54.755318,-143.79895,0.42115182,0.0019137439250946045,1543.5569303035736,220000
782.6343,0.0993637,-20.056118,0.072229356,1.0,6.462761,-4.837815,154.30942,0.31121296,-53.71582,-138.6473,0.30383748,844.3338,0.12782454,-20.150928,0.08125908,1.0,0.36967856,-52.58983,-145.92137,0.36378306,0.0019011372566223146,1553.0626230239868,225000
888.129,0.19337162,-20.081173,0.07461563,1.0,4.036747,-5.1181784,160.21376,0.3371541,-52.02311,-137.70587,0.33482602,838.0222,0.12833078,-20.129116,0.0791815,1.0,0.2348784,-52.902214,-141.58838,0.40379518,0.0019169224262237548,1562.6472408771515,230000
801.29333,0.12047363,-20.085781,0.07505463,1.0,6.6494746,-4.234839,179.88478,0.17350201,-52.054527,-147.42311,0.7814404,836.135,0.1936037,-20.138115,0.080038644,1.0,0.2718348,-54.097466,-147.73892,0.8360492,0.0019137696266174316,1572.216094493866,235000
837.5499,0.16066633,-20.101427,0.07654462,1.0,4.4408984,-4.4791265,158.20059,0.3217649,-53.005123,-163.29424,0.47341767,801.4415,0.13514633,-20.140844,0.080298506,1.0,0.40756026,-54.22744,-146.91588,0.40563798,0.001912462329864502,1581.778412103653,240000
804.0242,0.108805165,-20.071074,0.07365376,1.0,5.8872595,-4.9806275,150.14632,0.51664656,-52.507042,-141.93015,0.42677584,883.3535,0.178377,-20.153316,0.08148636,1.0,0.46044552,-51.90853,-144.88795,0.40936172,0.0019170466899871826,1591.3636510372162,245000
835.52655,0.124613754,-20.104795,0.076865405,1.0,7.0986433,-5.3465595,190.68724,0.35545033,-54.182236,-157.49309,0.61732316,886.2614,0.16774815,-20.135868,0.07982477,1.0,0.46057558,-51.175896,-140.94357,0.46865714,0.0018838755130767821,1600.7830348014832,250000
833.1393,0.13236749,-20.069862,0.07353843,1.0,4.2116404,-6.2781467,161.98291,0.43900126,-54.250908,-145.92801,0.42251176,832.6643,0.11618659,-20.13591,0.07982863,1.0,0.4556244,-53.23993,-145.88718,0.3865748,0.0019234589576721192,1610.4003353118896,255000
835.7438,0.1542772,-20.06353,0.072935194,1.0,5.465813,-4.571414,153.05292,0.39566544,-50.2919,-149.61148,0.3715585,827.92004,0.16732153,-20.12266,0.078566834,1.0,0.2996234,-53.798702,-144.49437,0.35326755,0.0019126797199249268,1619.9637401103973,260000
851.86664,0.13990535,-20.061998,0.0727894,1.0,5.511091,-5.091549,163.39288,0.373941,-51.73997,-163.81866,0.3262841,811.15155,0.14123163,-20.124964,0.07878625,1.0,0.34725845,-49.986286,-143.14694,0.33354482,0.0019356454372406007,1629.6419732570648,265000
859.5841,0.17094156,-20.065601,0.07313263,1.0,6.0405264,-6.653281,180.11801,0.30458897,-51.87388,-138.88141,0.51614934,830.03955,0.1412403,-20.132607,0.07951426,1.0,0.34091944,-54.23508,-143.40771,0.4367594,0.0019159388065338135,1639.2216725349426,270000
827.4441,0.142243,-20.065664,0.07313856,1.0,5.132133,-4.279235,156.18625,0.2829461,-51.87368,-145.71109,0.32653263,783.5961,0.09249457,-20.151112,0.081276566,1.0,0.37569058,-52.89393,-145.3427,1.093852,0.0019076847076416016,1648.7601017951965,275000
844.412,0.13952802,-20.07056,0.073604934,1.0,5.066516,-4.580574,162.34816,0.29684263,-50.96856,-142.26419,0.3444481,825.169,0.15166652,-20.128565,0.079129174,1.0,0.38105318,-55.735447,-151.6547,0.34296507,0.0019052512645721437,1658.286365032196,280000
810.02466,0.12104158,-20.083109,0.07480012,1.0,5.4634166,-6.085004,155.54584,0.19931798,-54.0383,-142.39626,0.33463532,871.2051,0.1742363,-20.127262,0.07900494,1.0,0.35522985,-52.164185,-141.72678,0.3720959,0.0018958577156066895,1667.7656593322754,285000
777.33936,0.11891632,-20.071566,0.07370066,1.0,4.4812217,-4.1300626,163.3298,0.41383487,-53.695007,-170.68643,0.49507064,857.4557,0.15149897,-20.114178,0.07775897,1.0,0.40182382,-53.69863,-139.35608,0.46445772,0.0019051419734954834,1677.2913753986359,290000
