training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
280.59647,0.16767308,-7.699985,0.087119296,1.0,17.382578,-5.5137467,111.39407,0.31114012,-31.97602,-105.28107,0.24683687,282.26984,0.15418409,-7.884349,0.1332101,1.0,0.46089903,-31.79798,-102.906296,0.2339701,0.0018626415729522704,1526.4050838947296,400000
284.48425,0.15668485,-7.684313,0.08320125,1.0,15.895898,-7.2411513,132.9578,0.4415947,-32.88729,-104.306046,0.32709727,299.34302,0.14764716,-7.8666744,0.12879165,1.0,0.5907971,-31.364676,-104.8712,0.26360667,0.036501936292648314,1708.9147725105286,405000
299.8493,0.16574118,-7.7000256,0.08712928,1.0,14.224565,-10.712928,123.87822,0.5039314,-31.188915,-108.658295,0.26996592,280.5755,0.14040075,-7.852695,0.1252967,1.0,0.53784704,-33.13018,-105.87581,0.19418088,0.0018632354259490967,1718.2309548854828,410000
292.21216,0.16128165,-7.6749744,0.08086668,1.0,8.6208935,-4.093955,103.85489,0.3931737,-31.998251,-106.34125,0.22488971,296.6592,0.18434846,-7.876883,0.13134374,1.0,0.4706933,-31.721226,-95.24124,0.20397317,0.001875632095336914,1727.6091208457947,415000
287.54514,0.15785012,-7.7066245,0.08877908,1.0,7.324664,-7.3517065,116.60635,0.3222746,-31.637423,-108.24692,0.2979104,288.55853,0.19826445,-7.8612843,0.12744397,1.0,0.91061544,-31.55281,-106.51161,0.3282442,0.0018992348670959472,1737.1053006649017,420000
293.4421,0.1718919,-7.7027617,0.08781344,1.0,18.038513,-12.324197,142.57643,0.3762694,-31.921234,-106.37343,0.19214198,275.93878,0.15120594,-7.8411565,0.122412056,1.0,0.48370576,-31.656557,-105.648346,0.22043619,0.0018696947574615478,1746.4537844657898,425000
300.62863,0.1769715,-7.6805015,0.08224827,1.0,8.9892645,-11.091224,138.3381,0.453552,-31.245031,-106.33522,0.20682925,281.70374,0.15456384,-7.8742647,0.13068922,1.0,0.44464928,-31.175251,-106.72503,0.28687215,0.001873554515838623,1755.8215627670288,430000
286.31415,0.16450243,-7.6866026,0.08377369,1.0,7.9160957,-20.733091,131.00212,0.42133197,-32.41389,-111.77089,0.20639876,296.6045,0.15176696,-7.8659525,0.128611,1.0,0.36574936,-30.04621,-98.55499,0.24457893,0.0018607344150543214,1765.1252398490906,435000
277.0813,0.14342973,-7.701005,0.087374166,1.0,13.541401,-8.095068,133.05473,0.29042548,-31.26503,-107.28721,0.20385286,315.49353,0.1860218,-7.88157,0.1325154,1.0,0.3366,-31.688046,-103.17157,0.21809612,0.0018774130821228028,1774.5123109817505,440000
282.19394,0.15989134,-7.6748037,0.08082387,1.0,6.8868656,-3.7991812,98.06023,0.23549217,-30.962425,-104.703766,0.2127324,299.4454,0.1503447,-7.8565197,0.12625292,1.0,0.34329593,-32.63774,-100.686295,0.27997196,0.0018501694679260254,1783.7631657123566,445000
