training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
20.648281,-19.806498,202.8712,504.3907,3.5401678,-9.922945,0.14671206,1.0,163.29906,0.37106746,-7.7146783,0.09079256,1.0,0.10328511,-36.373238,-98.75019,1.0140585,541.3594,4.0839477,-9.9605875,0.15424053,1.0,165.02846,0.30703706,-7.7933474,0.11045988,1.0,0.08420718,-33.494114,-99.39198,1.3923934,0.05020916976928711,1242.9080591201782,205000
25.2367,-5.798408,201.09476,539.57434,4.695347,-9.938326,0.1497881,1.0,176.97568,0.34046486,-7.6960506,0.08613572,1.0,0.16671604,-35.557655,-101.21226,0.8242109,510.84738,4.475914,-9.965235,0.15516987,1.0,181.55843,0.37052572,-7.807667,0.11403962,1.0,0.14735103,-38.460083,-99.54715,0.83122766,0.0024777939796447753,1255.2970340251923,210000
10.548646,-7.075304,246.72021,501.6109,4.2821283,-9.954065,0.15293601,1.0,196.92404,0.47548127,-7.6940327,0.08563108,1.0,0.15769497,-37.25112,-100.44212,1.2416439,522.7148,4.4845657,-9.98207,0.15853703,1.0,191.84381,0.45714074,-7.8350377,0.12088237,1.0,0.19190289,-36.732704,-99.05405,2.0055187,0.002491219425201416,1267.7531361579895,215000
25.923122,-25.444319,314.5671,494.2586,4.115508,-9.925888,0.14730048,1.0,188.80327,0.48828822,-7.677126,0.08140444,1.0,0.11992939,-36.22685,-100.975555,0.95245814,521.8174,4.2003946,-9.968014,0.15572558,1.0,182.19753,0.40419066,-7.8029437,0.11285888,1.0,0.092910185,-37.282898,-99.91647,0.9763507,0.002496406173706055,1280.2351715564728,220000
26.679907,-11.631759,246.38303,511.07867,4.1088433,-9.949696,0.15206209,1.0,169.38579,0.29567176,-7.6897182,0.08455241,1.0,-0.0005902648,-37.14554,-99.250465,0.81389326,521.37134,4.120703,-9.991598,0.1604427,1.0,182.80144,0.44939238,-7.7929688,0.11036521,1.0,0.010694616,-38.786106,-99.06563,1.286559,0.0025022295475006103,1292.746324300766,225000
11.140711,-8.23542,208.51297,521.2587,4.456608,-9.950048,0.15213282,1.0,164.04848,0.3507551,-7.689312,0.084450886,1.0,0.074554816,-38.65431,-99.55788,0.94100636,521.3574,4.444516,-9.98309,0.15874103,1.0,179.70319,0.37157208,-7.818535,0.11675669,1.0,0.08783004,-38.56128,-100.16904,0.9318907,0.0024814718246459963,1305.1536886692047,230000
16.869307,-14.815698,277.7381,520.3249,4.33871,-9.968208,0.15576468,1.0,158.85718,0.3655867,-7.6833215,0.082953334,1.0,-0.025483415,-41.028,-100.18105,1.0589198,525.0622,4.329418,-10.0064125,0.16340546,1.0,182.86911,0.34372014,-7.8144913,0.11574577,1.0,-0.0491283,-37.352333,-100.47295,0.728498,0.0024749218463897705,1317.5283041000366,235000
7.622455,-9.048264,168.73456,530.4977,4.143923,-9.926332,0.14738937,1.0,167.33652,0.3733483,-7.6908875,0.084844716,1.0,0.15355736,-36.7628,-99.978905,1.010666,505.18964,4.097281,-9.986465,0.15941595,1.0,169.6606,0.27623206,-7.809015,0.114376694,1.0,0.113383405,-36.880592,-99.01695,1.4667431,0.0024883451461791993,1329.9700345993042,240000
6.7194643,-21.916714,248.99283,497.1791,4.302758,-10.004087,0.16294037,1.0,156.89137,0.27888846,-7.696542,0.08625834,1.0,0.10782665,-39.168343,-100.8877,0.9848095,526.918,4.21947,-10.032443,0.16861165,1.0,175.16635,0.32846427,-7.837922,0.121603385,1.0,0.12590006,-37.594734,-100.34038,0.79027784,0.0024883707523345945,1342.4118945598602,245000
13.088282,-16.327978,242.06065,505.9325,3.9499156,-9.904667,0.14305633,1.0,162.80325,0.3604747,-7.6971507,0.08641061,1.0,0.016357616,-37.79725,-98.959785,1.0015596,518.6696,4.3326426,-9.958777,0.1538785,1.0,159.09433,0.31696537,-7.8387556,0.121812,1.0,0.004602693,-36.366974,-100.27077,0.8179056,0.00249259033203125,1354.8748514652252,250000
12.69166,-16.736385,230.68564,514.8688,4.2757807,-9.917571,0.14563718,1.0,175.6691,0.4761641,-7.6739607,0.08061316,1.0,0.09545116,-39.286316,-100.27554,0.80119765,517.1312,4.2511697,-9.953964,0.15291572,1.0,185.89154,0.40935302,-7.800652,0.11228594,1.0,0.057706334,-37.367714,-99.783966,0.89077175,0.0024976150035858156,1367.3629314899445,255000
24.324799,-23.99664,296.17725,533.086,4.4132347,-9.916832,0.14548925,1.0,173.49112,0.42185935,-7.6900363,0.084632,1.0,0.1448551,-37.288937,-100.19962,0.96871233,489.4387,3.9485703,-10.066507,0.17542441,1.0,171.00629,0.2900432,-7.8249087,0.118350215,1.0,0.18745686,-35.125725,-98.85126,1.152823,0.0024885729789733886,1379.8058013916016,260000
13.032064,-29.4558,243.36325,488.40765,3.8158393,-9.944024,0.15092771,1.0,167.55637,0.33389872,-7.6849346,0.08335659,1.0,0.08731532,-35.974014,-99.922455,1.034954,544.3363,4.6103926,-9.951384,0.15239953,1.0,175.76118,0.41206163,-7.815737,0.11605718,1.0,0.09558019,-37.483574,-99.68828,1.2536564,0.0024937127590179443,1392.2743704319,265000
11.784521,-10.319902,206.1098,497.9638,3.9076188,-10.022343,0.16659153,1.0,169.79556,0.28849784,-7.685417,0.0834773,1.0,0.03400988,-38.18535,-100.20637,0.7618949,500.0518,4.094616,-9.972504,0.1566238,1.0,171.34586,0.35831076,-7.8159633,0.11611386,1.0,0.17009327,-38.704453,-100.37041,1.9164109,0.002486759376525879,1404.708173274994,270000
