training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
9.098516,-10.436258,227.97208,622.37366,4.7313595,-9.8466015,0.13144337,1.0,179.00635,0.4917863,-7.6990824,0.08689356,1.0,0.1503976,-37.733173,-103.714584,1.040161,644.63824,4.411055,-10.087808,0.17968455,1.0,175.2521,0.4904273,-7.8123884,0.11522007,1.0,0.10600003,-38.14586,-101.70923,1.0305638,0.002532571506500244,800.1226286888123,125000
8.660008,-7.3480854,219.98776,639.5206,4.387064,-9.85322,0.13276696,1.0,200.37555,0.5540367,-7.702962,0.087863356,1.0,0.65945244,-37.5912,-103.94127,1.0201154,621.125,4.290928,-10.045717,0.17126656,1.0,187.69832,0.5194659,-7.828147,0.1191597,1.0,0.2030894,-38.234882,-101.70268,1.2610742,0.002522365713119507,812.7344624996185,130000
13.820618,-13.359938,268.12924,642.88416,4.5229425,-9.925005,0.14712408,1.0,193.71347,0.4893468,-7.7041445,0.088159025,1.0,0.1450599,-38.125763,-103.11185,1.1100304,644.98914,4.56562,-10.187581,0.19963913,1.0,196.45316,0.4950797,-7.806754,0.11381144,1.0,0.15367353,-39.146057,-101.55667,1.1337601,0.002528033447265625,825.3746376037598,135000
5.2177825,-6.5612206,194.40665,636.1693,4.6410656,-9.841719,0.13046668,1.0,168.14807,0.48064563,-7.6921654,0.08516424,1.0,0.176462,-38.755928,-102.3401,0.9518868,638.52435,4.649164,-10.096573,0.18143748,1.0,180.95708,0.4995235,-7.841968,0.122614965,1.0,0.1449008,-38.922516,-101.795456,1.457556,0.0025373883247375487,838.0615842342377,140000
8.808796,-8.234097,227.25006,633.25085,4.2717023,-9.816444,0.12541185,1.0,163.32587,0.47683454,-7.7015886,0.08752005,1.0,0.2666413,-38.435116,-102.56871,0.948645,639.8209,4.2159977,-10.026808,0.16748437,1.0,171.10973,0.5161778,-7.831101,0.119898215,1.0,0.17789812,-36.403664,-101.54697,1.5028956,0.002551198482513428,850.8175840377808,145000
22.038576,-28.659485,354.34863,620.07605,4.203426,-9.949654,0.15205352,1.0,189.49591,0.44724393,-7.7066183,0.088777676,1.0,0.27162513,-39.935104,-103.61203,0.9826339,637.6051,4.486355,-10.081099,0.17834266,1.0,199.76096,0.49014717,-7.8236604,0.11803807,1.0,0.19014561,-35.96186,-102.13317,1.6039124,0.002553052806854248,863.5828533172607,150000
6.8891954,-7.1696687,205.24347,654.21423,4.319964,-9.80499,0.12312096,1.0,181.74313,0.55920756,-7.7119055,0.09009938,1.0,0.17014688,-37.693886,-105.19039,1.1230961,665.02124,4.545435,-10.117413,0.18560556,1.0,190.8371,0.5511272,-7.8613253,0.1274544,1.0,0.15238343,-38.05373,-101.61813,1.1889663,0.002536532545089722,876.2655274868011,155000
10.37517,-10.287197,269.6924,643.3213,4.654609,-9.915788,0.14528054,1.0,202.99942,0.5543052,-7.6896763,0.08454199,1.0,0.17441325,-39.007675,-102.301445,1.2358044,645.52075,4.663227,-10.1115675,0.18443644,1.0,200.77878,0.48710838,-7.814206,0.11567433,1.0,0.081679806,-38.80224,-101.17862,1.2273096,0.002506432056427002,888.7976932525635,160000
7.353712,-17.555702,257.396,630.91693,4.1585484,-9.891546,0.14043216,1.0,175.14638,0.46215883,-7.6961417,0.08615839,1.0,0.18171604,-39.290215,-103.26811,1.1623185,642.2816,4.203809,-10.160322,0.19418745,1.0,191.11588,0.50485045,-7.8642473,0.12818472,1.0,0.16393495,-36.67601,-101.711044,1.4294312,0.002548885726928711,901.5421271324158,165000
17.267193,-11.433883,246.927,639.4785,4.6308403,-9.824835,0.12709005,1.0,190.27806,0.5433804,-7.6912227,0.08492868,1.0,0.06708936,-41.12587,-102.35144,0.82379,640.4713,4.5118656,-10.045887,0.17130046,1.0,198.88148,0.5199516,-7.839281,0.12194319,1.0,0.124219656,-39.480446,-101.42465,1.1417291,0.0025338179111480713,914.211222410202,170000
