training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
16.318357,-9.400866,210.08105,576.4004,4.6672153,-11.123735,0.38686997,1.0,55.809387,0.6990082,-2.122068,0.28419083,1.0,0.18736556,-34.172203,-94.61575,0.8237957,575.279,4.378602,-11.37816,0.43775502,1.0,53.67962,0.71166074,-2.1376944,0.29981732,1.0,0.27594343,-34.352783,-94.457214,0.99180484,0.0022679155826568604,492.4153001308441,125000
10.8715315,-13.362852,214.663,567.4045,4.233008,-11.288258,0.41977435,1.0,49.491364,0.61996466,-2.1329563,0.29507914,1.0,0.21091454,-34.817932,-95.33512,0.7461281,572.18866,5.0698223,-11.313711,0.42486507,1.0,52.3182,0.6789474,-2.1395295,0.30165252,1.0,0.47870728,-36.30857,-95.11747,0.8466177,0.0022689637184143065,503.7601237297058,130000
9.005932,-13.003262,200.34143,578.67957,4.7903337,-11.300068,0.4221366,1.0,54.41326,0.7336091,-2.1072319,0.26935482,1.0,0.4036253,-35.343704,-92.253494,0.9924319,592.52014,4.5588655,-11.337476,0.42961812,1.0,54.907715,0.6687482,-2.1324651,0.29458803,1.0,0.34096307,-34.626907,-97.458984,0.9429756,0.002267909288406372,515.0996747016907,135000
15.558264,-11.254627,260.39398,562.68005,4.006254,-11.343046,0.4307321,1.0,52.97389,0.69381356,-2.1230593,0.28518224,1.0,0.13944915,-35.917473,-98.06748,0.96537805,563.84125,4.2390537,-11.343048,0.43073264,1.0,54.57599,0.65665114,-2.1316862,0.29380935,1.0,0.24625602,-35.920277,-97.899025,0.97523767,0.0022680673599243164,526.4400162696838,140000
18.025719,-12.159681,221.27646,563.24304,3.776248,-11.274642,0.4170514,1.0,53.086395,0.68197036,-2.1269956,0.28911865,1.0,0.3359128,-33.268913,-96.7813,0.90451443,588.5244,5.0261745,-11.173713,0.39686564,1.0,51.358753,0.6866778,-2.1292434,0.2913662,1.0,0.43142322,-33.767857,-96.391304,0.72241986,0.0022698606967926026,537.7893242835999,145000
10.313569,-12.87835,223.48148,571.8711,4.2830667,-11.159501,0.39402327,1.0,53.610367,0.6822517,-2.1428132,0.3049361,1.0,0.37522155,-33.91442,-93.351746,1.0241724,573.0156,4.56618,-11.24472,0.41106692,1.0,58.582466,0.7691954,-2.113843,0.27596602,1.0,0.28394097,-34.181786,-95.30513,0.93842614,0.0022671785831451415,549.1252222061157,150000
14.904848,-14.884895,239.33133,545.68604,3.663425,-11.402098,0.44254255,1.0,54.25418,0.686661,-2.1231422,0.28526515,1.0,0.20670106,-34.039513,-93.71166,1.0318066,574.49835,4.24898,-11.24435,0.41099307,1.0,58.027157,0.75430995,-2.098257,0.26038015,1.0,0.37850177,-34.41745,-95.13559,1.025276,0.002268691873550415,560.4686858654022,155000
12.995493,-13.789505,219.47473,577.20483,4.108377,-11.2064,0.40340295,1.0,49.19865,0.6534406,-2.1197433,0.2818664,1.0,0.42194223,-34.442482,-96.00668,0.9039634,567.99713,4.0711155,-11.227732,0.40766916,1.0,54.30691,0.70293987,-2.118688,0.28081098,1.0,0.31336218,-33.462246,-94.98992,0.9067598,0.0022675251007080077,571.8063158988953,160000
11.86091,-5.9878435,218.64365,569.9671,4.364863,-11.222651,0.406653,1.0,51.45501,0.6335685,-2.1383874,0.30051053,1.0,0.76349044,-35.585556,-96.295364,0.7572123,574.55566,4.1049824,-11.228222,0.4077674,1.0,50.626656,0.6747412,-2.1202466,0.28236955,1.0,0.6951594,-34.39262,-95.77485,0.87714344,0.002265554666519165,583.1340935230255,165000
14.056212,-13.342512,237.1659,575.4794,4.644897,-11.213007,0.4047242,1.0,51.1491,0.63975525,-2.1210907,0.28321373,1.0,0.36985022,-34.00643,-95.501884,0.97443175,568.8832,4.155801,-11.188793,0.3998817,1.0,52.29274,0.6913315,-2.1274543,0.28957748,1.0,0.21338871,-35.11953,-93.857834,1.3477106,0.0022684032440185545,594.4761145114899,170000
4.318845,-8.211355,182.4699,562.6132,4.2820973,-11.212038,0.40453058,1.0,53.73138,0.6909883,-2.120636,0.28275895,1.0,0.19520392,-34.167274,-96.27026,1.024314,569.2263,4.4218273,-11.301628,0.42244855,1.0,53.478844,0.6726721,-2.1303196,0.2924426,1.0,0.43928802,-34.195866,-95.658394,0.8930563,0.002267404556274414,605.8131418228149,175000
11.375312,-7.7861795,182.41801,577.5204,4.4880857,-11.108449,0.38381273,1.0,54.099136,0.7134687,-2.1222777,0.28440076,1.0,0.60726523,-35.01455,-94.70177,0.95008636,605.35236,5.0138216,-11.220099,0.40614286,1.0,56.130196,0.73203397,-2.1197762,0.28189918,1.0,0.29501206,-36.545464,-96.26265,0.8747698,0.0022684879779815673,617.1555862426758,180000
9.619205,-6.014141,188.27927,582.48,4.53158,-11.201363,0.40239555,1.0,54.625565,0.71786,-2.1047559,0.26687872,1.0,0.6753144,-36.489624,-93.66295,1.0141624,575.35565,4.650837,-11.214422,0.40500736,1.0,51.358665,0.6510806,-2.1393387,0.30146176,1.0,0.81678396,-33.32222,-96.445404,0.8550335,0.002270803165435791,628.509607553482,185000
9.437571,-20.868414,258.89572,569.4668,4.4299374,-11.078598,0.37784252,1.0,49.708427,0.63931924,-2.1291971,0.29132003,1.0,0.2321679,-34.95978,-93.86986,0.8252089,579.0018,4.3006773,-11.166065,0.395336,1.0,49.432743,0.68129253,-2.1256042,0.28772697,1.0,0.11675806,-34.99074,-96.86728,0.7532524,0.0022663851737976075,639.8415381908417,190000
16.84668,-18.529833,254.49057,578.1859,4.495228,-11.07184,0.3764908,1.0,56.363186,0.7030082,-2.1266012,0.28872448,1.0,0.2663321,-35.266163,-94.03882,0.93021595,589.1718,4.4790683,-11.222197,0.40656233,1.0,56.278442,0.7247964,-2.1328492,0.29497218,1.0,0.33284634,-33.890827,-95.90572,0.88247335,0.0022674835681915284,651.1789610385895,195000
15.187416,-16.40639,284.56784,577.7609,4.923075,-11.117634,0.38564968,1.0,52.167976,0.6740328,-2.1181526,0.2802757,1.0,0.25398123,-36.061783,-95.18982,1.0952938,576.0536,4.7371697,-11.234716,0.4090662,1.0,54.170334,0.7008724,-2.1213703,0.2834932,1.0,0.18354806,-36.82657,-95.52075,0.96669847,0.002268462610244751,662.5212788581848,200000
15.650589,-11.233873,263.16718,570.7689,4.208121,-11.232578,0.4086384,1.0,52.4117,0.6769696,-2.1166227,0.27874574,1.0,0.5437866,-35.201088,-93.327324,1.1111436,594.82666,5.285615,-11.134344,0.38899168,1.0,54.80279,0.6922707,-2.1210065,0.2831295,1.0,0.6333093,-35.827694,-95.20077,0.96459615,0.009633223867416382,710.6874027252197,205000
23.807653,-19.356613,300.12173,561.8268,4.338178,-11.1044235,0.3830076,1.0,51.082172,0.68237543,-2.1288667,0.29098973,1.0,0.33939534,-34.19261,-97.58825,0.96313894,586.1703,4.6374874,-11.133873,0.38889742,1.0,51.132698,0.6595051,-2.1262417,0.28836456,1.0,0.4432969,-34.874424,-94.751465,0.89633787,0.0022674580574035645,722.0246975421906,210000
14.331326,-9.226364,239.34637,547.7727,3.9434712,-11.081546,0.3784322,1.0,50.23356,0.6067606,-2.1323435,0.2944665,1.0,0.42210966,-34.386887,-96.53081,1.0875728,576.32104,4.0203447,-11.22904,0.407931,1.0,53.11626,0.63650715,-2.1358764,0.2979995,1.0,0.3824908,-35.005455,-93.76489,0.98160934,0.0022654459476470945,733.351931810379,215000
11.803663,-8.799279,200.6665,577.1168,4.381898,-11.138497,0.38982248,1.0,50.09012,0.65014523,-2.1404572,0.3025799,1.0,0.23001352,-36.655495,-95.71233,0.7799686,576.4468,4.6033106,-11.191631,0.40044934,1.0,52.76167,0.670799,-2.1199002,0.28202304,1.0,0.449183,-34.87037,-95.22498,0.8331312,0.002266681385040283,744.6853432655334,220000
12.930295,-11.688975,224.87425,576.3274,4.471899,-11.114632,0.38504922,1.0,54.68728,0.720457,-2.1092768,0.27139992,1.0,0.29794315,-35.29562,-96.79326,1.0665408,555.3731,4.33689,-11.193206,0.40076414,1.0,51.409046,0.65272605,-2.109705,0.27182788,1.0,0.18385641,-35.2278,-94.53645,0.80908525,0.0022642842769622805,756.0067694187164,225000
